Agency Code,Site Number,Datetime,Time Zone,Gage Height Seaward (ft) Point B,Code Seaward,Gage Height Landward (ft) Point B,Code Landward,Gage Height (m) it C,Gage Height Landward (m) Point B,Gage Height Seaward(m Point B
USGS,8079120,2022-12-31 00:00:00,CST,2.17,A,2.12,A,0.5882799999999999,0.65296,0.66836
USGS,8079120,2022-12-31 00:05:00,CST,2.18,A,2.16,A,0.5975199999999999,0.66528,0.67144
USGS,8079120,2022-12-31 00:10:00,CST,2.06,A,2.03,A,0.5882799999999999,0.6252399999999999,0.63448
USGS,8079120,2022-12-31 00:15:00,CST,1.86,A,1.85,A,0.59444,0.5698,0.5728800000000001
USGS,8079120,2022-12-31 00:20:00,CST,1.83,A,1.83,A,0.60368,0.56364,0.56364
USGS,8079120,2022-12-31 00:25:00,CST,1.84,A,1.86,A,0.60676,0.5728800000000001,0.56672
USGS,8079120,2022-12-31 00:30:00,CST,1.77,A,1.75,A,0.6098399999999999,0.539,0.54516
USGS,8079120,2022-12-31 00:35:00,CST,1.64,A,1.61,A,0.6098399999999999,0.49588000000000004,0.50512
USGS,8079120,2022-12-31 00:40:00,CST,1.68,A,1.64,A,0.6098399999999999,0.50512,0.51744
USGS,8079120,2022-12-31 00:45:00,CST,1.77,A,1.72,A,0.57596,0.52976,0.54516
USGS,8079120,2022-12-31 00:50:00,CST,1.72,A,1.68,A,0.55748,0.51744,0.52976
USGS,8079120,2022-12-31 00:55:00,CST,1.71,A,1.69,A,0.5544,0.52052,0.52668
USGS,8079120,2022-12-31 01:00:00,CST,1.81,A,1.77,A,0.53592,0.54516,0.55748
USGS,8079120,2022-12-31 01:05:00,CST,1.91,A,1.88,A,0.5236,0.57904,0.5882799999999999
USGS,8079120,2022-12-31 01:10:00,CST,1.87,A,1.84,A,0.5143599999999999,0.56672,0.57596
USGS,8079120,2022-12-31 01:15:00,CST,1.8,A,1.79,A,0.48972000000000004,0.55132,0.5544
USGS,8079120,2022-12-31 01:20:00,CST,1.77,A,1.76,A,0.4774,0.54208,0.54516
USGS,8079120,2022-12-31 01:25:00,CST,1.78,A,1.75,A,0.46199999999999997,0.539,0.54824
USGS,8079120,2022-12-31 01:30:00,CST,1.65,A,1.63,A,0.44351999999999997,0.5020399999999999,0.5082
USGS,8079120,2022-12-31 01:35:00,CST,1.57,A,1.55,A,0.42196,0.4774,0.48356
USGS,8079120,2022-12-31 01:40:00,CST,1.52,A,1.49,A,0.41272000000000003,0.45892,0.46816
USGS,8079120,2022-12-31 01:45:00,CST,1.53,A,1.49,A,0.40348,0.45892,0.47124
USGS,8079120,2022-12-31 01:50:00,CST,1.5,A,1.46,A,0.385,0.44967999999999997,0.46199999999999997
USGS,8079120,2022-12-31 01:55:00,CST,1.4,A,1.38,A,0.37576,0.42504,0.43119999999999997
USGS,8079120,2022-12-31 02:00:00,CST,1.42,A,1.4,A,0.38192,0.43119999999999997,0.43735999999999997
USGS,8079120,2022-12-31 02:05:00,CST,1.44,A,1.4,A,0.38192,0.43119999999999997,0.44351999999999997
USGS,8079120,2022-12-31 02:10:00,CST,1.39,A,1.38,A,0.38192,0.42504,0.42811999999999995
USGS,8079120,2022-12-31 02:15:00,CST,1.34,A,1.32,A,0.37576,0.40656000000000003,0.41272000000000003
USGS,8079120,2022-12-31 02:20:00,CST,1.29,A,1.28,A,0.35728,0.39424,0.39732
USGS,8079120,2022-12-31 02:25:00,CST,1.34,A,1.32,A,0.3696,0.40656000000000003,0.41272000000000003
USGS,8079120,2022-12-31 02:30:00,CST,1.25,A,1.23,A,0.36651999999999996,0.37884,0.385
USGS,8079120,2022-12-31 02:35:00,CST,1.24,A,1.21,A,0.37268,0.37268,0.38192
USGS,8079120,2022-12-31 02:40:00,CST,1.23,A,1.19,A,0.36651999999999996,0.36651999999999996,0.37884
USGS,8079120,2022-12-31 02:45:00,CST,1.21,A,1.16,A,0.40040000000000003,0.35728,0.37268
USGS,8079120,2022-12-31 02:50:00,CST,1.23,A,1.19,A,0.38192,0.36651999999999996,0.37884
USGS,8079120,2022-12-31 02:55:00,CST,1.24,A,1.21,A,0.38808,0.37268,0.38192
USGS,8079120,2022-12-31 03:00:00,CST,1.36,A,1.32,A,0.385,0.40656000000000003,0.41888000000000003
