Datetime,Predicted Water Level Point A,Observed Water Level Point A,time,hs,tp,slope
2020-01-01 01:00:00,0.085,0.29,2020-01-01 01:00:00,0.34671283,3.478156,0.00236
2020-01-01 02:00:00,0.113,0.306,2020-01-01 02:00:00,0.3243397,3.4568167,0.00236
2020-01-01 03:00:00,0.12,0.34,2020-01-01 03:00:00,0.30604726,3.4211826,0.00236
2020-01-01 04:00:00,0.106,0.301,2020-01-01 04:00:00,0.28857523,3.4034557,0.00236
2020-01-01 05:00:00,0.078,0.278,2020-01-01 05:00:00,0.27784246,3.3358898,0.00236
2020-01-01 06:00:00,0.046,0.242,2020-01-01 06:00:00,0.26398718,3.3298054,0.00236
2020-01-01 07:00:00,0.018,0.178,2020-01-01 07:00:00,0.255893,3.2780437,0.00236
2020-01-01 08:00:00,-0.006,0.189,2020-01-01 08:00:00,0.2475912,3.2518435,0.00236
2020-01-01 09:00:00,-0.024,0.179,2020-01-01 09:00:00,0.23895448,3.24403,0.00236
2020-01-01 10:00:00,-0.032,0.127,2020-01-01 10:00:00,0.22117513,3.2926483,0.00236
2020-01-01 11:00:00,-0.036,0.158,2020-01-01 11:00:00,0.23363274,3.0815468,0.00236
2020-01-01 12:00:00,-0.044,0.185,2020-01-01 12:00:00,0.2703585,2.8732471,0.00236
2020-01-01 13:00:00,-0.06,0.157,2020-01-01 13:00:00,0.33698034,2.754919,0.00236
2020-01-01 14:00:00,-0.083,0.147,2020-01-01 14:00:00,0.41272527,2.791295,0.00236
2020-01-01 15:00:00,-0.112,0.097,2020-01-01 15:00:00,0.51888454,2.9143553,0.00236
2020-01-01 16:00:00,-0.146,0.096,2020-01-01 16:00:00,0.581331,3.0787392,0.00236
2020-01-01 17:00:00,-0.179,0.07,2020-01-01 17:00:00,0.6064925,3.2259007,0.00236
2020-01-01 18:00:00,-0.204,0.061,2020-01-01 18:00:00,0.6508338,3.3408222,0.00236
2020-01-01 19:00:00,-0.213,0.053,2020-01-01 19:00:00,0.6988756,3.4675617,0.00236
2020-01-01 20:00:00,-0.203,0.056,2020-01-01 20:00:00,0.75045645,3.6018171,0.00236
2020-01-01 21:00:00,-0.173,0.144,2020-01-01 21:00:00,0.78821874,3.7477646,0.00236
2020-01-01 22:00:00,-0.126,0.184,2020-01-01 22:00:00,0.77474374,3.962182,0.00236
