state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,677,-95.5618,28.7981,-119.1961,2.7436,999,0.1989,999,999,DC
1,33,677,-95.5615,28.7977,-70.4461,1.5726,999,0.0618,999,999,DT
1,33,677,-95.561,28.7969,28.9483,0.37,0.1607,999,99.3944,0.0121,SL
1,33,678,-95.5617,28.7981,-119.1961,2.6124,999,0.2519,999,999,DC
1,33,678,-95.5614,28.7978,-70.4461,1.5836,999,0.1662,999,999,DT
1,33,678,-95.5609,28.797,28.4573,0.37,0.0591,999,98.9034,0.0123,SL
1,33,679,-95.5614,28.7979,-81.6961,2.3957,999,0.0388,999,999,DC
1,33,679,-95.5613,28.7978,-67.9461,1.4243,999,0.0429,999,999,DT
1,33,679,-95.5608,28.797,28.0839,0.37,0.0078,999,96.03,0.011,SL
1,33,680,-95.5613,28.7979,-84.1961,2.4369,999,0.047,999,999,DC
1,33,680,-95.5613,28.7978,-67.9461,1.4502,999,0.0451,999,999,DT
1,33,680,-95.5608,28.7971,27.7664,0.37,0.0109,999,95.7124,0.0113,SL
1,33,681,-95.5614,28.7982,-116.6961,2.743,999,0.1948,999,999,DC
1,33,681,-95.5612,28.7979,-67.9461,1.4786,999,0.5113,999,999,DT
1,33,681,-95.5607,28.7971,27.4819,0.37,0.0341,999,95.428,0.0116,SL
1,33,682,-95.5612,28.7982,-101.6961,3.5354,999,0.6013,999,999,DC
1,33,682,-95.5612,28.7981,-94.1961,2.1574,999,0.1124,999,999,DT
1,33,682,-95.5606,28.7972,27.3253,0.37,0.0596,999,121.5213,0.0147,SL
1,33,683,-95.5612,28.7982,-101.6961,3.657,999,0.6457,999,999,DC
1,33,683,-95.5611,28.7982,-94.1961,2.1305,999,0.1129,999,999,DT
1,33,683,-95.5605,28.7972,27.2892,0.37,0.0273,999,121.4852,0.0145,SL
1,33,684,-95.5611,28.7983,-101.6961,2.8119,999,0.5886,999,999,DC
1,33,684,-95.561,28.7982,-94.1961,2.0539,999,0.0778,999,999,DT
