"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","0.21","-","0.533"
"2023/01/01","01:00","0.207","-","0.509"
"2023/01/01","02:00","0.217","-","0.525"
"2023/01/01","03:00","0.228","-","0.543"
"2023/01/01","04:00","0.222","-","0.54"
"2023/01/01","05:00","0.192","-","0.513"
"2023/01/01","06:00","0.139","-","0.482"
"2023/01/01","07:00","0.07","-","0.41"
"2023/01/01","08:00","-0.004","-","0.332"
"2023/01/01","09:00","-0.067","-","0.312"
"2023/01/01","10:00","-0.108","-","0.263"
"2023/01/01","11:00","-0.128","-","0.251"
"2023/01/01","12:00","-0.127","-","0.291"
"2023/01/01","13:00","-0.095","-","0.306"
"2023/01/01","14:00","-0.028","-","0.381"
"2023/01/01","15:00","0.066","-","0.494"
"2023/01/01","16:00","0.164","-","0.573"
"2023/01/01","17:00","0.251","-","0.682"
"2023/01/01","18:00","0.317","-","0.714"
"2023/01/01","19:00","0.355","-","0.777"
"2023/01/01","20:00","0.364","-","0.757"
"2023/01/01","21:00","0.356","-","0.768"
"2023/01/01","22:00","0.338","-","0.76"
"2023/01/01","23:00","0.313","-","0.695"
"2023/01/02","00:00","0.28","-","0.658"
"2023/01/02","01:00","0.25","-","0.647"
"2023/01/02","02:00","0.235","-","0.631"
"2023/01/02","03:00","0.231","-","0.646"
"2023/01/02","04:00","0.222","-","0.64"
"2023/01/02","05:00","0.197","-","0.626"
"2023/01/02","06:00","0.15","-","0.589"
"2023/01/02","07:00","0.082","-","0.531"
"2023/01/02","08:00","0","-","0.458"
"2023/01/02","09:00","-0.078","-","0.388"
"2023/01/02","10:00","-0.138","-","0.339"
"2023/01/02","11:00","-0.175","-","0.282"
"2023/01/02","12:00","-0.189","-","0.293"
"2023/01/02","13:00","-0.176","-","0.314"
"2023/01/02","14:00","-0.125","-","0.377"
"2023/01/02","15:00","-0.037","-","0.407"
"2023/01/02","16:00","0.073","-","0.517"
"2023/01/02","17:00","0.186","-","0.629"
"2023/01/02","18:00","0.286","-","0.721"
"2023/01/02","19:00","0.359","-","0.757"
"2023/01/02","20:00","0.4","-","0.815"
"2023/01/02","21:00","0.412","-","0.814"
"2023/01/02","22:00","0.405","-","0.821"
"2023/01/02","23:00","0.382","-","0.846"
"2023/01/03","00:00","0.346","-","0.793"
"2023/01/03","01:00","0.305","-","0.746"
"2023/01/03","02:00","0.27","-","0.691"
"2023/01/03","03:00","0.249","-","0.657"
"2023/01/03","04:00","0.234","-","0.698"
"2023/01/03","05:00","0.213","-","0.64"
"2023/01/03","06:00","0.174","-","0.587"
"2023/01/03","07:00","0.113","-","0.536"
"2023/01/03","08:00","0.033","-","0.475"
"2023/01/03","09:00","-0.054","-","0.409"
"2023/01/03","10:00","-0.131","-","0.287"
"2023/01/03","11:00","-0.188","-","0.234"
"2023/01/03","12:00","-0.221","-","0.217"
"2023/01/03","13:00","-0.226","-","0.166"
"2023/01/03","14:00","-0.195","-","0.211"
"2023/01/03","15:00","-0.127","-","0.296"
"2023/01/03","16:00","-0.025","-","0.331"
"2023/01/03","17:00","0.095","-","0.498"
"2023/01/03","18:00","0.216","-","0.667"
"2023/01/03","19:00","0.318","-","0.783"
"2023/01/03","20:00","0.389","-","0.786"
"2023/01/03","21:00","0.428","-","0.839"
"2023/01/03","22:00","0.438","-","0.823"
"2023/01/03","23:00","0.424","-","0.848"
"2023/01/04","00:00","0.393","-","0.809"
"2023/01/04","01:00","0.352","-","0.796"
